unique circuitNames,year,constructorId,bestLapTime,GPName,circuitName
,2018,131,01:17.4,Belgian Grand Prix,Hungaroring
,2018,6,01:19.1,Italian Grand Prix,Autodromo Nazionale di Monza
,2018,131,01:27.8,Singapore Grand Prix,Suzuka Circuit
,2018,131,01:14.759,Russian Grand Prix,Autódromo Hermanos Rodríguez
,2018,131,01:10.8,Japanese Grand Prix,Circuit de Monaco
,2018,131,01:31.4,United States Grand Prix,Sochi Autodrom
,2018,9,01:36.0,Mexican Grand Prix,Marina Bay Street Circuit
,2018,131,01:16.2,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2018,131,01:32.2,Abu Dhabi Grand Prix,Circuit of the Americas
,2019,131,01:34.779,Australian Grand Prix,Yas Marina Circuit
,2019,6,01:20.5,Bahrain Grand Prix,Albert Park Grand Prix Circuit
,2019,131,01:03.0,Chinese Grand Prix,Red Bull Ring
,2019,131,01:40.5,Azerbaijan Grand Prix,Baku City Circuit
,2019,131,01:27.9,Spanish Grand Prix,Bahrain International Circuit
,2019,131,01:42.5,Monaco Grand Prix,Circuit de Spa-Francorchamps
,2019,6,01:07.5,Canadian Grand Prix,Autódromo José Carlos Pace
,2019,131,01:25.1,French Grand Prix,Silverstone Circuit
,2019,6,01:10.2,Austrian Grand Prix,Circuit Gilles Villeneuve
,2019,131,01:31.5,British Grand Prix,Shanghai International Circuit
,2019,131,01:28.3,German Grand Prix,Circuit Paul Ricard
,2019,9,01:11.8,Hungarian Grand Prix,Hockenheimring
,2019,6,01:14.6,Belgian Grand Prix,Hungaroring
,2019,6,01:19.3,Italian Grand Prix,Autodromo Nazionale di Monza
,2019,6,01:27.1,Singapore Grand Prix,Suzuka Circuit
,2019,6,01:15.024,Russian Grand Prix,Autódromo Hermanos Rodríguez
,2019,6,01:10.2,Japanese Grand Prix,Circuit de Monaco
,2019,9,01:31.6,Mexican Grand Prix,Sochi Autodrom
,2019,131,01:36.2,United States Grand Prix,Marina Bay Street Circuit
,2019,9,01:15.4,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2019,131,01:32.0,Abu Dhabi Grand Prix,Circuit of the Americas
,2020,131,01:35.2,Hungarian Grand Prix,Yas Marina Circuit
,2020,131,01:24.3,British Grand Prix,Silverstone Circuit
,2020,131,01:02.9,Spanish Grand Prix,Red Bull Ring
,2020,131,01:27.3,Belgian Grand Prix,Bahrain International Circuit
,2020,131,01:41.3,Italian Grand Prix,Circuit de Spa-Francorchamps
,2020,131,01:25.3,Tuscan Grand Prix,Nürburgring
,2020,131,01:13.6,Russian Grand Prix,Autodromo Enzo e Dino Ferrari
,2020,131,01:13.4,Eifel Grand Prix,Hungaroring
,2020,131,01:18.9,Portuguese Grand Prix,Autodromo Nazionale di Monza
,2020,131,01:16.7,Emilia Romagna Grand Prix,Autódromo Internacional do Algarve
,2020,211,01:31.3,Turkish Grand Prix,Sochi Autodrom
,2020,131,00:53.4,Bahrain Grand Prix,Bahrain International Circuit 1
,2020,131,01:15.6,Sakhir Grand Prix,Circuit de Barcelona-Catalunya
,2020,9,01:47.8,Abu Dhabi Grand Prix,Istanbul Park
,2020,,01:15.1,,Autodromo Internazionale del Mugello
